winner_pp,winner,placer_pp,placer,payout,market_prob_pct,fair_card_pct,fair_rank_pct,fair_avg_pct,overlay_card,overlay_rank,overlay_avg,ev_per_1
19,Golden Tempo,14,Potente,628.18,0.124,0.274,0.06,0.167,2.203,0.481,1.342,0.047
6,Commandment,2,Albus,346.74,0.225,0.286,0.317,0.301,1.273,1.407,1.34,0.045
8,So Happy,14,Potente,221.12,0.353,0.429,0.512,0.471,1.217,1.452,1.334,0.041
16,Pavlovian,12,Chief Wallabee,920.27,0.085,0.184,0.041,0.113,2.17,0.488,1.329,0.037
23,Robusta,15,Emerging Market,2743.65,0.028,0.068,0.007,0.038,2.396,0.243,1.32,0.029
18,Further Ado,1,Renegade,34.47,2.263,2.561,3.394,2.978,1.132,1.5,1.316,0.026
19,Golden Tempo,23,Robusta,3565.23,0.022,0.054,0.003,0.028,2.462,0.14,1.301,0.015
1,Renegade,11,Incredibolt,202.29,0.386,0.443,0.559,0.501,1.148,1.451,1.299,0.013
18,Further Ado,22,Ocelli,1355.02,0.058,0.139,0.011,0.075,2.411,0.183,1.297,0.012
23,Robusta,19,Golden Tempo,3640.05,0.021,0.051,0.003,0.027,2.391,0.141,1.266,-0.012
23,Robusta,12,Chief Wallabee,2649.33,0.029,0.067,0.008,0.037,2.268,0.257,1.263,-0.015
11,Incredibolt,1,Renegade,237.62,0.328,0.403,0.424,0.413,1.226,1.292,1.259,-0.018
8,So Happy,6,Commandment,45.29,1.722,1.199,3.138,2.169,0.696,1.822,1.259,-0.018
23,Robusta,3,Intrepido,5864.66,0.013,0.03,0.004,0.017,2.234,0.278,1.256,-0.02
14,Potente,6,Commandment,172.51,0.452,0.593,0.542,0.568,1.313,1.198,1.255,-0.021
14,Potente,19,Golden Tempo,587.74,0.133,0.27,0.06,0.165,2.035,0.454,1.245,-0.029
15,Emerging Market,2,Albus,829.65,0.094,0.164,0.069,0.117,1.744,0.738,1.241,-0.032
3,Intrepido,23,Robusta,5638.1,0.014,0.03,0.004,0.017,2.202,0.273,1.238,-0.035
6,Commandment,14,Potente,148.88,0.524,0.648,0.641,0.645,1.237,1.224,1.23,-0.04
