winner_pp,placer_pp,show_pp,winner,placer,show,our_prob_pct,mkt_prob_pct,payout_per_1,payout_source,overlay,ev_per_1
18,4,1,Further Ado,Litmus Test,Renegade,0.182,0.0495,1574.8763,synth,3.6743,1.866
18,3,6,Further Ado,Intrepido,Commandment,0.1127,0.0308,2532.2253,synth,3.6595,1.8544
18,14,4,Further Ado,Potente,Litmus Test,0.0674,0.0185,4219.3562,synth,3.6483,1.8456
18,1,4,Further Ado,Renegade,Litmus Test,0.1989,0.0547,1424.7548,synth,3.6326,1.8334
18,15,3,Further Ado,Emerging Market,Intrepido,0.0721,0.0199,3920.1325,synth,3.6243,1.827
18,6,3,Further Ado,Commandment,Intrepido,0.1277,0.0354,2200.3778,synth,3.6018,1.8094
3,1,18,Intrepido,Renegade,Further Ado,0.0856,0.0238,3272.256,synth,3.5913,1.8012
1,18,19,Renegade,Further Ado,Golden Tempo,0.1951,0.0547,1424.7548,synth,3.5634,1.7794
4,18,14,Litmus Test,Further Ado,Potente,0.0595,0.0167,4668.3123,synth,3.563,1.7792
1,3,18,Renegade,Intrepido,Further Ado,0.0941,0.0264,2954.2629,synth,3.5622,1.7785
14,18,19,Potente,Further Ado,Golden Tempo,0.061,0.0171,4555.171,synth,3.5603,1.777
19,6,4,Golden Tempo,Commandment,Litmus Test,0.0512,0.0146,5356.573,synth,3.5133,1.7404
18,19,15,Further Ado,Golden Tempo,Emerging Market,0.1213,0.0347,2249.8232,synth,3.4994,1.7295
4,18,1,Litmus Test,Further Ado,Renegade,0.1586,0.0454,1719.9045,synth,3.4982,1.7286
4,6,19,Litmus Test,Commandment,Golden Tempo,0.0509,0.0146,5356.573,synth,3.4926,1.7242
3,18,15,Intrepido,Further Ado,Emerging Market,0.0581,0.0167,4674.6514,synth,3.4842,1.7177
19,14,18,Golden Tempo,Potente,Further Ado,0.0536,0.0154,5052.9073,synth,3.472,1.7082
18,19,6,Further Ado,Golden Tempo,Commandment,0.2005,0.0578,1349.8939,synth,3.4704,1.7069
3,18,6,Intrepido,Further Ado,Commandment,0.0961,0.0278,2804.7908,synth,3.4553,1.6952
19,1,18,Golden Tempo,Renegade,Further Ado,0.1558,0.0454,1719.9045,synth,3.4364,1.6804
1,18,4,Renegade,Further Ado,Litmus Test,0.1862,0.0547,1424.7548,synth,3.402,1.6536
14,18,4,Potente,Further Ado,Litmus Test,0.0582,0.0171,4555.171,synth,3.399,1.6512
6,19,4,Commandment,Golden Tempo,Litmus Test,0.0552,0.0162,4801.8726,synth,3.3966,1.6493
14,19,18,Potente,Golden Tempo,Further Ado,0.0529,0.0156,4995.074,synth,3.3883,1.6429
18,15,19,Further Ado,Emerging Market,Golden Tempo,0.1244,0.0367,2123.4051,synth,3.386,1.6411
6,4,19,Commandment,Litmus Test,Golden Tempo,0.055,0.0162,4801.8726,synth,3.3858,1.6409
1,19,18,Renegade,Golden Tempo,Further Ado,0.167,0.0495,1574.8763,synth,3.3711,1.6294
18,6,19,Further Ado,Commandment,Golden Tempo,0.2202,0.0654,1191.8713,synth,3.365,1.6247
15,18,3,Emerging Market,Further Ado,Intrepido,0.0643,0.0192,4068.3325,synth,3.3553,1.6172
19,18,15,Golden Tempo,Further Ado,Emerging Market,0.1061,0.0317,2457.0065,synth,3.3408,1.6059
18,4,15,Further Ado,Litmus Test,Emerging Market,0.1154,0.0347,2249.8232,synth,3.3296,1.5971
6,18,3,Commandment,Further Ado,Intrepido,0.1204,0.0362,2154.164,synth,3.3244,1.593
19,18,6,Golden Tempo,Further Ado,Commandment,0.1753,0.0529,1474.2039,synth,3.3132,1.5843
